parent_cell,Adamts2,Adarb2,Agmat,Aqp4,Batf3,Bcl11b,Bcl6,Blnk,Calb1,Car12,Cartpt,Ccn2,Chat,Chodl,Chrna5,Col24a1,Cox6a2,Csf1r,Cspg4,Cux1,Cux2,Cxcl14,Deptor,Dkk3,Dlx1,Egln3,Egr2,Endou,Etv1,Fam84b,Fezf2,Flt1,Fos,Foxp2,Gad1,Gfap,Glra3,Gpx3,Hsd11b1,Htr3a,Id3,Inpp4b,Kit,Lamp5,Lhx6,Lpl,Ly6d,Man1a,Mog,Neurod1,Nfib,Nos1,Nr4a2,Nr5a1,Ntsr1,Nxph4,Obscn,Olig2,Oprk1,Otof,Pcp4,Pde1a,Pdgfra,Pdia5,Pecam1,Plp1,Pou3f2,Prox1,Ptgs2,Pthlh,Pvalb,Rasgrf2,Rbfox3,Reln,Rora,Rorb,Rspo1,Satb2,Scn7a,Scnn1a,Slc17a7,Slc17a8,Snap25,Sncg,Sox10,Spi1,Sst,Syt6,Tacr1,Tbata,Tbr1,Th,Tle4,Tox,Trem2,Trhr,Trib2,Tshz2,Vip,Wnt7b
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,4,4,0,1,0,0,1,1,1,0,0,0,10,0,2,0,0,13,0,0,52,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,7,2,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,7,2,0,0,2,3,11,0,4,7,9,15,0,0,49,0,147,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0
3,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,0,1,0,6,0,6,10,0,3,0,0,13,0,44,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
4,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,8,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,3,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,5,0,16,10,7,0,5,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,0,6,0,0,3,0,0,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,4,0,0,0,0,6,14,0,7,15,3,7,0,0,35,1,88,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,1
6,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,22,0,0,0,0,5,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,5,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,6,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,0,1,1,0,0,0,0,2,11,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,5,0,0,44,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,1,3,3,0,1,2,1,0,0,0,3,0,0,0,1,0,14,1,0,0,0,0,0,0,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,5,4,1,3,2,0,1,0,0,17,0,55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,0,0,0,9,0,0,8,1,4,0,0,0,0,0,0,0,2,0,0,1,1,0,0,9,0,0,0,1,0,0,0,0,0,9,3,0,0,0,5,0,0,0,0,0,0,17,0,0,1,0,6,0,0,57,0,81,0,0,0,0,5,0,1,4,0,1,0,0,0,1,0,0,0
